,INFP,ISTP,ENFP,INFJ,ENFJ,INTJ,ENTJ,INTP,ENTP,ISFP,ESFP,ESTP,ISFJ,ESFJ,ISTJ,ESTJ
ENFJ,5,1,4,4,4,4,4,4,4,5,1,1,1,1,1,1
ENFP,4,1,4,5,4,5,4,4,4,1,1,1,1,1,1,1
ENTJ,5,2,4,4,4,4,4,5,4,2,2,2,2,2,2,2
ENTP,4,2,4,5,4,5,4,4,4,2,2,2,3,3,3,3
ESFJ,1,5,1,1,1,3,2,3,3,5,2,2,4,4,4,4
ESFP,1,3,1,1,1,2,2,2,2,3,3,3,5,2,5,2
ESTJ,1,5,1,1,1,3,2,5,3,5,2,2,4,4,4,4
ESTP,1,3,1,1,1,2,2,2,2,3,3,3,5,2,5,2
INFJ,4,1,5,4,4,4,4,4,5,1,1,1,1,1,1,1
INFP,4,1,4,4,5,4,5,4,4,1,1,1,1,1,1,1
INTJ,4,2,5,4,4,4,4,4,5,2,2,2,3,3,3,3
INTP,4,2,4,4,4,4,5,4,4,2,2,2,3,3,3,5
ISFJ,1,5,1,1,1,3,2,3,3,2,5,5,4,4,4,4
ISFP,1,3,1,1,5,2,2,2,2,3,3,3,2,5,2,5
ISTJ,1,2,1,1,1,3,2,3,3,2,5,5,4,4,4,4
ISTP,1,3,1,1,1,2,2,2,2,3,3,3,2,5,2,5
